City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Alofi,NU,2020-12-26 13:59:34,-19.06,-169.92,71.6,94,4,1.12
199,Charleville,AU,2020-12-26 13:59:34,-26.4,146.25,80.6,36,99,5.82
200,Cayenne,GF,2020-12-26 13:59:34,4.93,-52.33,86.0,70,75,4.7
201,Ayni,TJ,2020-12-26 13:59:34,39.39,68.54,33.78,83,100,5.53
202,Amapa,BR,2020-12-26 13:59:35,1.0,-52.0,88.23,51,74,4.83
203,Pevek,RU,2020-12-26 13:59:35,69.7,170.31,-25.49,82,0,8.1
204,Souillac,MU,2020-12-26 13:59:35,-20.52,57.52,82.4,74,75,16.11
205,Coihaique,CL,2020-12-26 13:59:35,-45.58,-72.07,66.2,59,75,8.05
206,Tharad,IN,2020-12-26 13:58:16,24.4,71.63,67.89,38,0,5.64
207,Beira,MZ,2020-12-26 13:59:36,-19.84,34.84,87.8,74,75,17.22
208,Isangel,VU,2020-12-26 13:59:36,-19.55,169.27,78.28,80,100,6.13
209,Gouyave,GD,2020-12-26 13:59:36,12.16,-61.73,84.2,70,20,16.11
210,Cascais,PT,2020-12-26 13:59:36,38.7,-9.42,53.01,40,0,10.29
211,Victoria,HK,2020-12-26 13:56:48,22.29,114.16,66.99,81,1,9.15
212,Ternate,ID,2020-12-26 13:59:37,0.8,127.4,79.14,83,100,5.46
213,College,US,2020-12-26 13:59:37,64.86,-147.8,7.0,76,1,3.36
214,Rucheng,CN,2020-12-26 13:59:37,32.39,120.56,50.0,64,100,6.29
215,Kloulklubed,PW,2020-12-26 13:59:38,7.04,134.26,77.0,94,75,3.36
216,Bell Ville,AR,2020-12-26 13:59:38,-32.63,-62.69,89.01,52,0,1.99
217,Hutchinson,US,2020-12-26 13:59:38,38.06,-97.93,24.8,79,1,6.87
218,Campeche,MX,2020-12-26 13:56:13,19.0,-90.5,60.91,73,41,2.48
219,Gimli,CA,2020-12-26 13:59:38,50.63,-96.99,17.6,72,96,11.41
220,Walvis Bay,NA,2020-12-26 13:59:39,-22.96,14.51,71.6,68,0,11.41
221,Port Hedland,AU,2020-12-26 13:59:39,-20.32,118.57,86.0,74,40,9.17
222,Vila,PT,2020-12-26 13:59:39,42.03,-8.16,46.99,60,0,1.99
223,Kavieng,PG,2020-12-26 13:59:39,-2.57,150.8,83.93,70,55,7.56
224,Tocopilla,CL,2020-12-26 13:59:39,-22.09,-70.2,70.92,58,94,5.93
225,Cabo San Lucas,MX,2020-12-26 13:54:57,22.89,-109.91,59.0,77,5,4.7
226,Karratha,AU,2020-12-26 13:59:40,-20.74,116.85,84.78,60,0,13.98
227,Maningrida,AU,2020-12-26 13:59:40,-12.07,134.27,82.71,79,100,4.52
228,Noyabrsk,RU,2020-12-26 13:59:40,63.2,75.45,-41.13,81,9,2.13
229,Pilani,IN,2020-12-26 13:59:40,28.37,75.6,59.2,34,100,5.93
230,Monforte De Lemos,ES,2020-12-26 13:59:41,42.52,-7.51,48.99,74,0,2.64
231,Taltal,CL,2020-12-26 13:59:41,-25.4,-70.48,68.29,62,0,6.53
232,Baghdad,IQ,2020-12-26 13:58:17,33.34,44.4,57.2,26,0,14.99
233,Ilulissat,GL,2020-12-26 13:59:41,69.22,-51.1,21.2,57,75,10.29
234,San Carlos,VE,2020-12-26 13:59:42,9.66,-68.58,84.58,59,60,1.45
235,Buraydah,SA,2020-12-26 13:58:07,26.33,43.98,59.0,33,40,10.29
236,Richards Bay,ZA,2020-12-26 13:59:42,-28.78,32.04,88.65,57,0,14.81
237,Wanning,CN,2020-12-26 13:59:42,18.8,110.4,71.87,87,94,7.92
238,Arvika,SE,2020-12-26 13:59:42,59.66,12.59,33.8,100,100,8.05
239,Butaritari,KI,2020-12-26 13:59:43,3.07,172.79,80.85,79,14,14.85
240,Honolulu,US,2020-12-26 13:58:12,21.31,-157.86,73.4,78,75,16.44
241,Yebaishou,CN,2020-12-26 13:59:43,41.4,119.64,16.47,90,0,3.6
242,Fairmont,US,2020-12-26 13:59:43,39.49,-80.14,15.01,82,100,1.01
243,Wajima,JP,2020-12-26 13:59:43,37.4,136.9,44.62,71,98,7.14
244,Santa Maria,BR,2020-12-26 13:59:44,-29.68,-53.81,84.06,53,83,6.64
245,Albacete,ES,2020-12-26 13:59:44,38.83,-2.0,41.0,48,0,9.17
246,San Juan,AR,2020-12-26 13:59:44,-31.54,-68.54,86.16,34,0,5.91
247,Malangali,TZ,2020-12-26 13:59:44,-8.57,34.85,67.87,90,100,0.36
